date,Payweek,Weekends,Holidays,Festival,Day_of_Month,Day_of_Week,Week_YearWise,Week_QuarterWise
2014-01-01,1,0,1,1,1,4,1,1
2014-01-02,1,1,0,0,2,5,1,1
2014-01-03,0,1,0,0,3,6,1,1
2014-01-04,0,1,0,0,4,7,1,1
2014-01-05,0,0,0,0,5,1,2,2
2014-01-06,0,0,0,0,6,2,2,2
2014-01-07,0,0,0,0,7,3,2,2
2014-01-08,0,0,0,0,8,4,2,2
2014-01-09,0,1,0,0,9,5,2,2
2014-01-10,0,1,0,0,10,6,2,2
2014-01-11,0,1,0,0,11,7,2,2
2014-01-12,0,0,0,0,12,1,3,3
2014-01-13,0,0,1,1,13,2,3,3
2014-01-14,0,0,0,0,14,3,3,3
2014-01-15,0,0,0,0,15,4,3,3
2014-01-16,0,1,0,0,16,5,3,3
2014-01-17,0,1,0,0,17,6,3,3
2014-01-18,0,1,0,0,18,7,3,3
2014-01-19,0,0,0,0,19,1,4,4
2014-01-20,0,0,0,0,20,2,4,4
2014-01-21,0,0,0,0,21,3,4,4
2014-01-22,0,0,0,0,22,4,4,4
2014-01-23,0,1,0,0,23,5,4,4
2014-01-24,0,1,0,0,24,6,4,4
2014-01-25,1,1,0,0,25,7,4,4
2014-01-26,1,0,0,0,26,1,5,5
2014-01-27,1,0,0,0,27,2,5,5
2014-01-28,1,0,0,0,28,3,5,5
2014-01-29,1,0,0,0,29,4,5,5
2014-01-30,1,1,0,0,30,5,5,5
2014-01-31,1,1,0,0,31,6,5,5
2014-02-01,1,1,0,0,1,7,5,5
2014-02-02,1,0,0,0,2,1,6,6
2014-02-03,0,0,0,0,3,2,6,6
2014-02-04,0,0,0,0,4,3,6,6
2014-02-05,0,0,0,0,5,4,6,6
2014-02-06,0,1,0,0,6,5,6,6
2014-02-07,0,1,0,0,7,6,6,6
2014-02-08,0,1,0,0,8,7,6,6
2014-02-09,0,0,0,0,9,1,7,7
2014-02-10,0,0,0,0,10,2,7,7
2014-02-11,0,0,0,0,11,3,7,7
2014-02-12,0,0,0,0,12,4,7,7
2014-02-13,0,1,0,0,13,5,7,7
2014-02-14,0,1,0,0,14,6,7,7
2014-02-15,0,1,0,0,15,7,7,7
2014-02-16,0,0,0,0,16,1,8,8
2014-02-17,0,0,0,0,17,2,8,8
2014-02-18,0,0,0,0,18,3,8,8
2014-02-19,0,0,0,0,19,4,8,8
2014-02-20,0,1,0,0,20,5,8,8
