Posting Date,promotion
17/12/2018,BABY BUNDL
3/12/2018,LOYALTY
9/9/2018,LOYALTY
6/7/2018,LOYALTY
11/5/2018,BUY2GET1
20/12/2018,LOYALTY
5/9/2018,BABY BUNDL
23/06/2018,LOYALTY
25/08/2018,BABY BUNDL
28/09/2018,LOYALTY
19/08/2018,LOYALTY
30/10/2018,BABY BUNDL
17/10/2018,LOYALTY
16/12/2018,BABY BUNDL
21/08/2018,BABY BUNDL
31/05/2018,LOYALTY
14/11/2018,BABY BUNDL
6/6/2018,LOYALTY
18/12/2018,LOYALTY
5/11/2018,BABY BUNDL
11/12/2018,BABY BUNDL
6/9/2018,LOYALTY
6/10/2018,LOYALTY
27/06/2018,LOYALTY
21/09/2018,LOYALTY
16/05/2018,LOYALTY
2/7/2018,LOYALTY
8/6/2018,LOYALTY
3/9/2018,LOYALTY
29/09/2018,LOYALTY
28/08/2018,BABY BUNDL
7/7/2018,LOYALTY
23/09/2018,LOYALTY
10/12/2018,LOYALTY
15/06/2018,LOYALTY
1/6/2018,LOYALTY
4/1/2019,LOYALTY
23/08/2018,BABY BUNDL
30/09/2018,LOYALTY
18/08/2018,BABY BUNDL
3/1/2019,BABY BUNDL
28/10/2018,LOYALTY
10/8/2018,LOYALTY
8/12/2018,BABY BUNDL
25/11/2018,LOYALTY
12/6/2018,LOYALTY
10/5/2018,BUY2GET1
13/07/2018,LOYALTY
7/8/2018,LOYALTY
12/9/2018,BABY BUNDL
4/12/2018,BABY BUNDL
14/08/2018,LOYALTY
7/6/2018,LOYALTY
29/11/2018,LOYALTY
3/6/2018,LOYALTY
7/11/2018,LOYALTY
9/11/2018,LOYALTY
27/11/2018,BABY BUNDL
23/10/2018,BABY BUNDL
26/11/2018,BABY BUNDL
13/10/2018,BABY BUNDL
19/11/2018,LOYALTY
10/9/2018,LOYALTY
1/9/2018,LOYALTY
21/07/2018,LOYALTY
14/09/2018,LOYALTY
17/08/2018,LOYALTY
18/10/2018,LOYALTY
1/1/2019,BABY BUNDL
17/09/2018,BABY BUNDL
14/05/2018,LOYALTY
25/12/2018,BABY BUNDL
18/11/2018,BABY BUNDL
24/11/2018,SUPERSALE
2/12/2018,LOYALTY
30/08/2018,BABY BUNDL
9/9/2018,BABY BUNDL
22/08/2018,LOYALTY
8/9/2018,BABY BUNDL
31/12/2018,LOYALTY
7/9/2018,BABY BUNDL
18/06/2018,LOYALTY
26/11/2018,LOYALTY
21/08/2018,LOYALTY
11/12/2018,LOYALTY
10/12/2018,BABY BUNDL
24/07/2018,LOYALTY
21/12/2018,BABY BUNDL
28/09/2018,VIP WEEKEN
24/11/2018,BABY BUNDL
5/10/2018,BABY BUNDL
15/10/2018,LOYALTY
18/07/2018,LOYALTY
13/08/2018,BABY BUNDL
1/8/2018,LOYALTY
26/07/2018,LOYALTY
13/09/2018,BABY BUNDL
23/09/2018,BABY BUNDL
3/12/2018,BABY BUNDL
25/05/2018,LOYALTY
19/08/2018,BABY BUNDL
1/9/2018,BABY BUNDL
25/08/2018,LOYALTY
1/12/2018,BABY BUNDL
4/5/2018,LOYALTY
28/07/2018,LOYALTY
3/8/2018,LOYALTY
28/08/2018,LOYALTY
9/11/2018,BABY BUNDL
12/5/2018,BUY2GET1
28/06/2018,LOYALTY
30/10/2018,LOYALTY
6/11/2018,BABY BUNDL
9/8/2018,LOYALTY
5/11/2018,LOYALTY
9/6/2018,LOYALTY
14/12/2018,LOYALTY
15/09/2018,BABY BUNDL
18/10/2018,BABY BUNDL
18/11/2018,KIABI 40TH
22/06/2018,LOYALTY
12/7/2018,LOYALTY
4/9/2018,LOYALTY
20/09/2018,BABY BUNDL
19/12/2018,LOYALTY
20/08/2018,LOYALTY
14/09/2018,BABY BUNDL
25/11/2018,BABY BUNDL
20/11/2018,BABY BUNDL
26/06/2018,LOYALTY
25/06/2018,LOYALTY
7/12/2018,BABY BUNDL
4/12/2018,LOYALTY
13/10/2018,LOYALTY
29/08/2018,BABY BUNDL
4/8/2018,LOYALTY
28/11/2018,LOYALTY
2/6/2018,LOYALTY
22/11/2018,SUPERSALE
26/09/2018,LOYALTY
29/12/2018,LOYALTY
29/11/2018,BABY BUNDL
28/05/2018,LOYALTY
19/11/2018,BABY BUNDL
4/1/2019,BABY BUNDL
25/12/2018,LOYALTY
21/06/2018,LOYALTY
27/10/2018,BABY BUNDL
4/6/2018,LOYALTY
16/09/2018,LOYALTY
20/12/2018,BABY BUNDL
18/08/2018,LOYALTY
19/07/2018,LOYALTY
30/06/2018,LOYALTY
10/10/2018,LOYALTY
2/12/2018,BABY BUNDL
17/08/2018,BABY BUNDL
19/10/2018,BABY BUNDL
17/10/2018,BABY BUNDL
23/08/2018,LOYALTY
7/11/2018,BABY BUNDL
17/09/2018,LOYALTY
21/09/2018,BABY BUNDL
3/1/2019,LOYALTY
9/7/2018,LOYALTY
25/10/2018,LOYALTY
12/12/2018,BABY BUNDL
10/11/2018,LOYALTY
14/12/2018,BABY BUNDL
2/11/2018,LOYALTY
3/11/2018,BABY BUNDL
27/08/2018,BABY BUNDL
31/08/2018,LOYALTY
18/05/2018,LOYALTY
6/8/2018,LOYALTY
29/08/2018,LOYALTY
13/09/2018,LOYALTY
29/09/2018,BABY BUNDL
22/09/2018,LOYALTY
16/10/2018,LOYALTY
20/10/2018,BABY BUNDL
14/07/2018,LOYALTY
14/06/2018,LOYALTY
24/08/2018,BABY BUNDL
29/10/2018,LOYALTY
9/12/2018,LOYALTY
12/10/2018,BABY BUNDL
23/12/2018,BABY BUNDL
31/07/2018,LOYALTY
22/12/2018,LOYALTY
16/12/2018,LOYALTY
24/06/2018,LOYALTY
20/08/2018,BABY BUNDL
4/9/2018,BABY BUNDL
1/1/2019,LOYALTY
7/9/2018,LOYALTY
21/10/2018,BABY BUNDL
30/11/2018,BABY BUNDL
2/9/2018,LOYALTY
1/7/2018,LOYALTY
25/09/2018,LOYALTY
21/05/2018,LOYALTY
5/9/2018,LOYALTY
3/9/2018,BABY BUNDL
30/12/2018,BABY BUNDL
24/12/2018,LOYALTY
27/09/2018,BABY BUNDL
19/06/2018,LOYALTY
31/10/2018,BABY BUNDL
19/05/2018,LOYALTY
17/12/2018,LOYALTY
22/11/2018,BABY BUNDL
24/10/2018,LOYALTY
21/11/2018,LOYALTY
24/05/2018,LOYALTY
12/8/2018,BABY BUNDL
3/7/2018,LOYALTY
27/12/2018,BABY BUNDL
26/10/2018,LOYALTY
13/12/2018,BABY BUNDL
1/11/2018,BUY 2 GET
13/11/2018,BABY BUNDL
25/07/2018,LOYALTY
20/11/2018,LOYALTY
11/7/2018,LOYALTY
13/06/2018,LOYALTY
1/11/2018,BABY BUNDL
6/11/2018,LOYALTY
10/8/2018,BABY BUNDL
27/11/2018,LOYALTY
17/07/2018,LOYALTY
15/08/2018,BABY BUNDL
28/10/2018,BABY BUNDL
13/05/2018,LOYALTY
28/12/2018,BABY BUNDL
29/09/2018,VIP WEEKEN
5/12/2018,LOYALTY
15/12/2018,LOYALTY
4/11/2018,LOYALTY
8/7/2018,LOYALTY
20/07/2018,LOYALTY
16/09/2018,BABY BUNDL
11/9/2018,BABY BUNDL
4/10/2018,LOYALTY
19/12/2018,BABY BUNDL
2/1/2019,BABY BUNDL
6/12/2018,LOYALTY
8/11/2018,BABY BUNDL
22/08/2018,BABY BUNDL
27/09/2018,VIP WEEKEN
15/10/2018,BABY BUNDL
19/09/2018,LOYALTY
14/10/2018,BABY BUNDL
12/11/2018,LOYALTY
11/8/2018,LOYALTY
23/11/2018,BABY BUNDL
10/9/2018,BABY BUNDL
7/10/2018,LOYALTY
20/09/2018,LOYALTY
11/11/2018,BABY BUNDL
16/08/2018,BABY BUNDL
22/10/2018,LOYALTY
6/10/2018,BABY BUNDL
18/09/2018,BABY BUNDL
9/10/2018,LOYALTY
5/1/2019,BABY BUNDL
29/06/2018,LOYALTY
1/10/2018,LOYALTY
26/12/2018,BABY BUNDL
25/10/2018,BABY BUNDL
8/10/2018,LOYALTY
30/08/2018,LOYALTY
27/10/2018,LOYALTY
16/11/2018,BABY BUNDL
8/8/2018,LOYALTY
17/11/2018,KIABI 40TH
30/12/2018,LOYALTY
22/12/2018,BABY BUNDL
13/05/2018,BUY2GET1
18/12/2018,BABY BUNDL
10/11/2018,BABY BUNDL
20/06/2018,LOYALTY
29/10/2018,BABY BUNDL
1/12/2018,LOYALTY
2/11/2018,BABY BUNDL
20/05/2018,LOYALTY
30/11/2018,LOYALTY
23/07/2018,LOYALTY
3/10/2018,BABY BUNDL
23/12/2018,LOYALTY
16/10/2018,BABY BUNDL
23/11/2018,SUPERSALE
27/08/2018,LOYALTY
8/11/2018,LOYALTY
21/12/2018,LOYALTY
8/9/2018,LOYALTY
5/8/2018,LOYALTY
15/09/2018,LOYALTY
10/7/2018,LOYALTY
25/09/2018,BABY BUNDL
5/10/2018,LOYALTY
4/7/2018,LOYALTY
13/08/2018,LOYALTY
12/12/2018,LOYALTY
20/10/2018,LOYALTY
3/11/2018,LOYALTY
2/9/2018,BABY BUNDL
16/11/2018,KIABI 40TH
24/12/2018,BABY BUNDL
11/10/2018,LOYALTY
11/8/2018,BABY BUNDL
12/8/2018,LOYALTY
15/05/2018,LOYALTY
29/12/2018,BABY BUNDL
10/10/2018,BABY BUNDL
6/12/2018,BABY BUNDL
21/10/2018,LOYALTY
10/6/2018,LOYALTY
26/08/2018,BABY BUNDL
8/12/2018,LOYALTY
29/07/2018,LOYALTY
16/06/2018,LOYALTY
5/7/2018,LOYALTY
12/11/2018,BABY BUNDL
4/10/2018,BABY BUNDL
26/12/2018,LOYALTY
11/11/2018,LOYALTY
28/11/2018,BABY BUNDL
13/12/2018,LOYALTY
21/11/2018,BABY BUNDL
7/12/2018,LOYALTY
17/06/2018,LOYALTY
1/11/2018,LOYALTY
24/08/2018,LOYALTY
16/08/2018,LOYALTY
23/10/2018,LOYALTY
25/11/2018,SUPERSALE
5/12/2018,BABY BUNDL
15/08/2018,LOYALTY
27/07/2018,LOYALTY
26/10/2018,BABY BUNDL
11/6/2018,LOYALTY
1/10/2018,BABY BUNDL
31/08/2018,BABY BUNDL
12/10/2018,LOYALTY
4/11/2018,BABY BUNDL
13/11/2018,LOYALTY
15/11/2018,BABY BUNDL
28/09/2018,BABY BUNDL
14/08/2018,BABY BUNDL
27/12/2018,LOYALTY
30/05/2018,LOYALTY
30/07/2018,LOYALTY
27/09/2018,LOYALTY
11/9/2018,LOYALTY
15/12/2018,BABY BUNDL
29/05/2018,LOYALTY
30/09/2018,BABY BUNDL
22/10/2018,BABY BUNDL
2/1/2019,LOYALTY
23/05/2018,LOYALTY
9/10/2018,BABY BUNDL
5/1/2019,LOYALTY
26/09/2018,BABY BUNDL
2/8/2018,LOYALTY
17/11/2018,BABY BUNDL
19/10/2018,LOYALTY
28/12/2018,LOYALTY
19/09/2018,BABY BUNDL
22/09/2018,BABY BUNDL
