,date,BABY.BUNDL,BUY.2.GET,BUY2GET1,KIABI.40TH,LOYALTY,SUPERSALE,VIP.WEEKEN,Quantity
,2018-05-10,0,0,1,0,0,0,0,45825
,2018-05-11,0,0,1,0,0,0,0,32408
,2018-05-12,0,0,1,0,0,0,0,31914
,2018-05-13,0,0,1,0,1,0,0,18820
,2018-05-14,0,0,0,0,1,0,0,14915
,2018-05-15,0,0,0,0,1,0,0,24023
,2018-05-16,0,0,0,0,1,0,0,9148
,2018-05-17,0,0,0,0,0,0,0,10812
,2018-05-18,0,0,0,0,1,0,0,19354
,2018-05-19,0,0,0,0,1,0,0,9918
,2018-05-20,0,0,0,0,1,0,0,6527
,2018-05-21,0,0,0,0,1,0,0,9583
,2018-05-22,0,0,0,0,0,0,0,10261
,2018-05-23,0,0,0,0,1,0,0,12104
,2018-05-24,0,0,0,0,1,0,0,25907
,2018-05-25,0,0,0,0,1,0,0,10130
,2018-05-26,0,0,0,0,0,0,0,8002
,2018-05-27,0,0,0,0,0,0,0,9549
,2018-05-28,0,0,0,0,1,0,0,10509
,2018-05-29,0,0,0,0,1,0,0,22760
,2018-05-30,0,0,0,0,1,0,0,10629
,2018-05-31,0,0,0,0,1,0,0,13680
,2018-06-01,0,0,0,0,1,0,0,80681
,2018-06-02,0,0,0,0,1,0,0,63277
,2018-06-03,0,0,0,0,1,0,0,27707
,2018-06-04,0,0,0,0,1,0,0,47371
,2018-06-05,0,0,0,0,0,0,0,37790
,2018-06-06,0,0,0,0,1,0,0,46016
,2018-06-07,0,0,0,0,1,0,0,86304
,2018-06-08,0,0,0,0,1,0,0,69348
,2018-06-09,0,0,0,0,0,0,0,61824
,2018-06-10,0,0,0,0,1,0,0,66183
,2018-06-11,0,0,0,0,1,0,0,35431
,2018-06-12,0,0,0,0,1,0,0,41777
,2018-06-13,0,0,0,0,1,0,0,59016
,2018-06-14,0,0,0,0,1,0,0,67469
,2018-06-15,0,0,0,0,1,0,0,64639
,2018-06-16,0,0,0,0,1,0,0,26071
,2018-06-17,0,0,0,0,1,0,0,31835
,2018-06-18,0,0,0,0,1,0,0,26700
,2018-06-19,0,0,0,0,1,0,0,17703
,2018-06-20,0,0,0,0,1,0,0,38597
,2018-06-21,0,0,0,0,1,0,0,34435
,2018-06-22,0,0,0,0,1,0,0,27923
,2018-06-23,0,0,0,0,1,0,0,26348
,2018-06-24,0,0,0,0,1,0,0,27431
,2018-06-25,0,0,0,0,1,0,0,38839
,2018-06-26,0,0,0,0,1,0,0,36919
